game_id,season,date
1001477,2018/2019,22.02.2019
1001480,2018/2019,22.02.2019
1001478,2018/2019,23.02.2019
1001475,2018/2019,23.02.2019
1001479,2018/2019,23.02.2019
1001476,2018/2019,24.02.2019
1001486,2018/2019,01.03.2019
1001482,2018/2019,01.03.2019
1001484,2018/2019,01.03.2019
1001481,2018/2019,02.03.2019
1001483,2018/2019,02.03.2019
1001485,2018/2019,04.03.2019
1001489,2018/2019,16.03.2019
1001492,2018/2019,16.03.2019
1001491,2018/2019,17.03.2019
1001488,2018/2019,17.03.2019
1001487,2018/2019,18.03.2019
1001490,2018/2019,18.03.2019
1002064,2018/2019,24.03.2019
1002065,2018/2019,28.03.2019
1002067,2018/2019,22.03.2019
1002068,2018/2019,28.03.2019
1002097,2018/2019,06.04.2019
1002098,2018/2019,13.04.2019
1002094,2018/2019,07.04.2019
1002095,2018/2019,14.04.2019
1002128,2018/2019,23.04.2019
1002129,2018/2019,26.04.2019
1002130,2018/2019,29.04.2019
1002133,2018/2019,23.04.2019
1002134,2018/2019,26.04.2019
1002135,2018/2019,29.04.2019
1002136,2018/2019,02.05.2019
1002100,2018/2019,07.04.2019
1002101,2018/2019,15.04.2019
1002070,2018/2019,23.03.2019
1002071,2018/2019,30.03.2019
1002072,2018/2019,06.04.2019
1002073,2018/2019,24.03.2019
1002074,2018/2019,31.03.2019
1002076,2018/2019,23.03.2019
1002077,2018/2019,30.03.2019
1002078,2018/2019,05.04.2019
1002138,2018/2019,17.04.2019
1002139,2018/2019,18.04.2019
1002140,2018/2019,27.04.2019
1002141,2018/2019,28.04.2019
1100530,2019/2020,11.10.2019
1100521,2019/2020,12.10.2019
1100529,2019/2020,12.10.2019
1100531,2019/2020,12.10.2019
1100539,2019/2020,12.10.2019
1100535,2019/2020,14.10.2019
1100522,2019/2020,18.10.2019
1100532,2019/2020,18.10.2019
1100541,2019/2020,19.10.2019
1100525,2019/2020,19.10.2019
1100520,2019/2020,20.10.2019
1100536,2019/2020,20.10.2019
1100537,2019/2020,25.10.2019
1100526,2019/2020,26.10.2019
1100533,2019/2020,26.10.2019
1100542,2019/2020,27.10.2019
1100523,2019/2020,28.10.2019
1100524,2019/2020,28.10.2019
1100543,2019/2020,05.11.2019
1100528,2019/2020,08.11.2019
1100540,2019/2020,08.11.2019
1100534,2019/2020,09.11.2019
1100538,2019/2020,09.11.2019
1100527,2019/2020,11.11.2019
1100455,2019/2020,15.11.2019
1100433,2019/2020,16.11.2019
1100422,2019/2020,17.11.2019
1100466,2019/2020,17.11.2019
1100477,2019/2020,18.11.2019
1100444,2019/2020,19.11.2019
1100544,2019/2020,22.11.2019
1100499,2019/2020,23.11.2019
1100431,2019/2020,24.11.2019
1100488,2019/2020,24.11.2019
1100434,2019/2020,25.11.2019
1100510,2019/2020,25.11.2019
1100456,2019/2020,29.11.2019
1100500,2019/2020,29.11.2019
1100445,2019/2020,30.11.2019
1100489,2019/2020,30.11.2019
1100478,2019/2020,30.11.2019
1100467,2019/2020,01.12.2019
1100443,2019/2020,07.12.2019
1100423,2019/2020,07.12.2019
1100446,2019/2020,07.12.2019
1100457,2019/2020,07.12.2019
1100511,2019/2020,08.12.2019
1100545,2019/2020,22.12.2019
1100512,2019/2020,10.12.2019
1100468,2019/2020,11.12.2019
1100501,2019/2020,11.12.2019
1100490,2019/2020,11.12.2019
1100546,2019/2020,11.12.2019
1100479,2019/2020,11.12.2019
1100454,2019/2020,13.12.2019
1100458,2019/2020,14.12.2019
1100469,2019/2020,14.12.2019
1100480,2019/2020,14.12.2019
1100424,2019/2020,15.12.2019
1100435,2019/2020,15.12.2019
1100547,2019/2020,22.10.2019
1100513,2019/2020,23.10.2019
1100491,2019/2020,23.10.2019
1100436,2019/2020,17.12.2019
1100502,2019/2020,18.12.2019
1100425,2019/2020,21.12.2019
1100481,2019/2020,30.10.2019
1100470,2019/2020,30.10.2019
1100492,2019/2020,31.10.2019
1100503,2019/2020,02.11.2019
1100447,2019/2020,03.11.2019
1100459,2019/2020,04.01.2020
1100448,2019/2020,12.11.2019
1100437,2019/2020,13.11.2019
1100548,2019/2020,13.11.2019
1100514,2019/2020,13.11.2019
1100426,2019/2020,08.01.2020
1100746,2019/2020,19.02.2020
1100482,2019/2020,18.01.2020
1100493,2019/2020,18.01.2020
1100756,2019/2020,18.01.2020
1100515,2019/2020,18.01.2020
1100504,2019/2020,19.01.2020
1100549,2019/2020,20.01.2020
1100460,2019/2020,24.01.2020
1100472,2019/2020,24.01.2020
1100427,2019/2020,25.01.2020
1100483,2019/2020,25.01.2020
1100438,2019/2020,25.01.2020
1100449,2019/2020,26.01.2020
1100509,2019/2020,29.01.2020
1100494,2019/2020,29.01.2020
1100550,2019/2020,29.01.2020
1100439,2019/2020,29.01.2020
1100516,2019/2020,29.01.2020
1100428,2019/2020,29.01.2020
1100461,2019/2020,01.02.2020
1100450,2019/2020,01.02.2020
1100505,2019/2020,02.02.2020
1100495,2019/2020,02.02.2020
1100484,2019/2020,02.02.2020
1100473,2019/2020,03.02.2020
1100462,2019/2020,07.02.2020
1100551,2019/2020,08.02.2020
1100451,2019/2020,08.02.2020
1100432,2019/2020,08.02.2020
1100517,2019/2020,09.02.2020
1100440,2019/2020,10.02.2020
1100474,2019/2020,15.02.2020
1100485,2019/2020,15.02.2020
1100518,2019/2020,15.02.2020
1100506,2019/2020,15.02.2020
1100552,2019/2020,16.02.2020
1100496,2019/2020,17.02.2020
1100452,2019/2020,22.02.2020
1100475,2019/2020,22.02.2020
1100486,2019/2020,22.02.2020
1100465,2019/2020,22.02.2020
1100429,2019/2020,23.02.2020
1100441,2019/2020,23.02.2020
1100553,2019/2020,25.02.2020
1100497,2019/2020,26.02.2020
1100519,2019/2020,26.02.2020
1100430,2019/2020,26.02.2020
1100507,2019/2020,26.02.2020
1100442,2019/2020,27.02.2020
1100476,2019/2020,29.02.2020
1100487,2019/2020,29.02.2020
1100498,2019/2020,29.02.2020
1100453,2019/2020,01.03.2020
1100508,2019/2020,02.03.2020
1100463,2019/2020,02.03.2020
1100791,2020/2021,17.09.2020
1100789,2020/2021,18.09.2020
1100786,2020/2021,18.09.2020
1100787,2020/2021,19.09.2020
