game_id,season,date,team_A,team_B,number_of_sets,is_playoff,win_A,diff_atk_eff,diff_so_eff,diff_blk_per_set,diff_atk_blocked_rate,diff_srv_eff,diff_rec_pos_pct,diff_srv_ace_rate,diff_error_total_rate,diff_opp_errors_share,diff_wl_per_set
1101707,2021/2022,2021-09-24,Radomka Radom,Pałac Bydgoszcz,3,0,1,0.06451612903225805,-0.0434782608695653,1.3333333333333335,-0.03225806451612903,-0.025234318673395817,2.0,0.012076423936553712,0.014031360930206557,-0.08035391838208741,3.666666666666667
1101710,2021/2022,2021-09-24,UNI Opole,Chemik Police,3,0,0,-0.1834862385321101,-0.19047619047619047,-2.666666666666667,0.07339449541284404,0.027759562841530055,-5.0,-0.010273224043715848,-0.019774011299435026,0.15210213515298263,-8.666666666666668
1101708,2021/2022,2021-09-25,Legionovia,Volley Wrocław,4,0,1,0.04808590102707752,0.10619047619047617,1.0,-0.03583099906629318,0.0617816091954023,4.0,0.048850574712643674,-0.012842869520393957,-0.08583073603452407,5.75
1101705,2021/2022,2021-09-26,Developres Rzeszów,BKS Bielsko-Biała,5,0,1,0.01886996680617692,0.18974292052720865,0.3999999999999999,-0.009489103766777307,0.08935723822239176,-5.0,-0.011062368872782757,-0.019780219780219786,0.06949217258495607,2.1999999999999993
1101709,2021/2022,2021-09-26,Budowlani Łódź,Joker Świecie,3,0,1,0.1001984126984127,0.10259740259740258,0.6666666666666667,-0.020171957671957667,0.05693398316349137,-6.0,0.029020824102791318,0.0035243667424781633,-0.12333333333333332,7.0
1101699,2021/2022,2021-10-01,Joker Świecie,UNI Opole,4,0,0,-0.05972545972545973,-0.1619621342512909,-1.5,0.03864283864283864,-0.04728132387706856,-6.0,-0.02850013133701077,-0.0022659679932020976,0.032236842105263175,-4.75
1101701,2021/2022,2021-10-02,Pałac Bydgoszcz,Legionovia,5,0,0,0.021280020603953398,0.03701241134751765,2.6,-0.06499903418968514,-0.030532212885154064,-2.0,-0.037815126050420166,0.0038427326098559034,0.03753501400560222,1.4000000000000004
1101702,2021/2022,2021-10-02,Radomka Radom,ŁKS Commercecon Łódź,3,0,1,0.02471698113207546,0.23095051060487037,-0.6666666666666665,0.014905660377358479,0.09237595804759983,20.0,0.03771682129891085,-0.0435464675971005,0.07408906882591093,3.666666666666667
1101703,2021/2022,2021-10-02,Developres Rzeszów,MKS Kalisz,3,0,1,0.1229126213592233,0.24322169059011167,0.6666666666666665,-0.016504854368932037,-0.007919520547945202,-4.0,-0.021404109589041098,-0.011867885799589473,0.026031746031746072,3.999999999999999
1101704,2021/2022,2021-10-02,Chemik Police,BKS Bielsko-Biała,3,0,1,0.32935275853833296,0.5598495212038305,4.666666666666667,-0.12885120611416287,0.08135308918087783,4.0,0.0273972602739726,-0.037116246981717824,0.003404255319148952,14.666666666666666
1101700,2021/2022,2021-10-04,Volley Wrocław,Budowlani Łódź,5,0,1,0.07912504624491307,0.10728446810921044,0.8000000000000003,-0.010266370699223093,-0.016396103896103895,-7.0,-0.0551948051948052,-0.0037477634315005587,0.06403861625100565,0.5999999999999996
1101693,2021/2022,2021-10-08,Developres Rzeszów,ŁKS Commercecon Łódź,5,0,1,-0.053588957055214714,0.031958762886597936,-0.8000000000000003,0.006380368098159506,0.057422717469446445,14.0,0.05553558590941768,-0.019363584859848383,-0.0024271844660194164,1.0
1101694,2021/2022,2021-10-09,BKS Bielsko-Biała,Pałac Bydgoszcz,3,0,0,-0.19074074074074077,-0.14033780427223042,-3.0,0.07592592592592592,0.02538275584206285,15.0,0.03243352135374698,0.006087662337662336,0.021212121212121238,-6.666666666666666
1101697,2021/2022,2021-10-09,Legionovia,UNI Opole,5,0,0,0.02118298103964436,0.011627906976744207,0.9999999999999998,-0.03107139617164112,-0.022108843537414963,-8.0,-0.01998299319727891,0.013660356752821262,-0.03592687074829928,0.6000000000000005
1101698,2021/2022,2021-10-10,Budowlani Łódź,Chemik Police,4,0,0,-0.08570376991429621,-0.34795008912655967,-2.75,0.07376833692623166,-0.0613429124067422,-3.0,-0.014230450400663168,0.033648520114138644,-0.10263157894736843,-6.75
1101695,2021/2022,2021-10-11,MKS Kalisz,Volley Wrocław,4,0,1,0.13203437720744055,0.17565359477124176,1.5,-0.03767365198963975,0.01098901098901099,7.0,0.0,-0.013948896631823457,0.013833992094861663,5.5
1101696,2021/2022,2021-10-11,Radomka Radom,Joker Świecie,3,0,1,0.11276794035414726,0.3720043572984749,0.6666666666666665,-0.014911463187325252,0.0016977928692699512,-1.0,-0.022071307300509338,-0.0022939648483621816,0.022780498190334286,4.0
1101691,2021/2022,2021-10-15,Pałac Bydgoszcz,Developres Rzeszów,4,0,0,-0.12118103055175561,-0.14369747899159668,-0.75,0.02525079799361605,0.0048878665899942456,4.0,-0.03680276020701552,-0.00736111111111111,0.0876712328767123,-6.0
1101688,2021/2022,2021-10-16,UNI Opole,Radomka Radom,5,0,1,0.009297717486567825,0.012083333333333335,0.0,-0.0010669511869831894,-0.009071117561683599,14.0,-0.029390420899854865,0.013698630136986294,-0.0210242587601078,-0.40000000000000036
1101692,2021/2022,2021-10-16,Chemik Police,ŁKS Commercecon Łódź,4,0,0,-0.02299898682877405,-0.02198133092442034,-0.5,0.01388044579533941,0.022213612294976107,-4.0,0.012527444143096991,-0.0032258064516128976,-0.021963824289405687,-0.5
1101687,2021/2022,2021-10-17,Budowlani Łódź,Legionovia,3,0,1,0.06279279279279282,0.3653952459922608,0.9999999999999998,-0.02207207207207207,0.09958686671015438,21.0,0.03892150467492933,-0.029612298243369216,0.07409836065573772,5.333333333333333
1101689,2021/2022,2021-10-18,Joker Świecie,MKS Kalisz,5,0,1,0.13390887290167863,0.1822390572390572,0.5999999999999996,-0.01419664268585133,0.07964601769911504,7.0,0.05020959478341873,-0.04882519580069988,0.0009331840238895051,7.2
